x,y
184.0,67.0
186.0,68.0
184.0,67.0
185.0,67.0
184.0,67.0
184.0,67.0
185.0,67.0
185.0,67.0
184.0,67.0
184.0,67.0
184.0,67.0
184.0,67.0
184.0,67.0
184.0,67.0
185.0,67.0
184.0,67.0
184.0,67.0
184.0,67.0
184.0,67.0
184.0,67.0
185.0,67.0
184.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
186.0,67.0
184.0,67.0
186.0,67.0
185.0,67.0
184.0,67.0
185.0,67.0
184.0,67.0
185.0,67.0
185.0,67.0
184.0,67.0
185.0,67.0
185.0,67.0
184.0,67.0
184.0,67.0
184.0,67.0
184.0,67.0
186.0,67.0
185.0,67.0
186.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
186.0,67.0
185.0,67.0
185.0,67.0
186.0,67.0
184.0,67.0
185.0,67.0
184.0,67.0
185.0,67.0
184.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
186.0,67.0
184.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
184.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
186.0,67.0
185.0,67.0
184.0,67.0
185.0,67.0
185.0,67.0
186.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
186.0,68.0
186.0,67.0
185.0,67.0
185.0,67.0
186.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
184.0,67.0
185.0,67.0
184.0,67.0
185.0,67.0
184.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
184.0,67.0
186.0,67.0
184.0,67.0
185.0,67.0
185.0,67.0
184.0,67.0
184.0,67.0
184.0,67.0
184.0,67.0
184.0,67.0
185.0,67.0
186.0,67.0
185.0,67.0
186.0,68.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
184.0,67.0
185.0,67.0
185.0,67.0
184.0,67.0
185.0,67.0
185.0,67.0
186.0,68.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
186.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
185.0,67.0
