time,x,y
0.02094268798828125,232.0,38.0
0.03988957405090332,232.0,38.0
0.07745552062988281,233.0,38.0
0.10061120986938477,232.0,39.0
0.13541793823242188,232.0,39.0
0.1586322784423828,232.0,39.0
0.1844925880432129,232.0,38.0
0.21042251586914062,232.0,38.0
0.2393481731414795,232.0,38.0
0.270275354385376,232.0,38.0
0.30419063568115234,232.0,38.0
0.3380923271179199,232.0,39.0
0.3620281219482422,232.0,38.0
0.3879568576812744,232.0,38.0
0.4098978042602539,232.0,39.0
0.4288475513458252,232.0,38.0
0.4477989673614502,232.0,38.0
0.4727308750152588,232.0,38.0
0.5026493072509766,232.0,39.0
0.5285806655883789,232.0,39.0
0.544536828994751,232.0,38.0
0.5644865036010742,232.0,38.0
0.5973975658416748,232.0,38.0
0.622330904006958,232.0,39.0
0.6492576599121094,232.0,38.0
0.6731932163238525,232.0,38.0
0.7001223564147949,232.0,39.0
0.7330398559570312,233.0,38.0
0.7633638381958008,233.0,38.0
0.7936887741088867,232.0,38.0
0.8116395473480225,232.0,39.0
0.8445558547973633,233.0,38.0
0.8684883117675781,233.0,38.0
0.8853962421417236,233.0,38.0
0.9123356342315674,233.0,38.0
0.9402501583099365,233.0,39.0
0.9542126655578613,232.0,39.0
0.9881227016448975,233.0,38.0
1.006075382232666,233.0,38.0
1.070906162261963,233.0,38.0
1.110795497894287,232.0,38.0
1.1327440738677979,232.0,38.0
1.1626574993133545,233.0,38.0
1.1995606422424316,232.0,38.0
1.2185068130493164,233.0,38.0
1.2494256496429443,233.0,38.0
1.2803401947021484,233.0,38.0
1.3043558597564697,232.0,38.0
1.3372688293457031,233.0,38.0
1.36519455909729,233.0,38.0
1.3891303539276123,232.0,38.0
1.4090769290924072,232.0,38.0
1.437999963760376,232.0,38.0
1.4599401950836182,232.0,38.0
1.4808857440948486,232.0,39.0
1.5078203678131104,232.0,39.0
1.533742904663086,232.0,38.0
1.55269455909729,232.0,38.0
1.5866010189056396,232.0,38.0
1.604557752609253,232.0,38.0
1.6404573917388916,232.0,38.0
1.6673851013183594,232.0,38.0
1.6953125,233.0,38.0
1.7232377529144287,232.0,38.0
1.7571449279785156,233.0,38.0
1.78300142288208,233.0,38.0
1.8029530048370361,233.0,38.0
1.8298940658569336,232.0,39.0
1.8458588123321533,233.0,38.0
1.8658127784729004,232.0,38.0
1.8917810916900635,233.0,38.0
1.9117321968078613,233.0,38.0
1.9444444179534912,233.0,38.0
1.9693734645843506,233.0,39.0
2.0090200901031494,232.0,38.0
2.0349490642547607,232.0,38.0
2.048912763595581,233.0,38.0
2.0718507766723633,233.0,38.0
2.097794771194458,233.0,38.0
2.119734525680542,233.0,38.0
2.141676902770996,233.0,38.0
2.1626172065734863,232.0,38.0
2.197525978088379,233.0,38.0
2.224453926086426,232.0,38.0
2.255648612976074,233.0,38.0
2.2923402786254883,233.0,38.0
2.3102903366088867,233.0,39.0
2.3272440433502197,233.0,39.0
2.3521766662597656,233.0,38.0
2.3801050186157227,233.0,38.0
2.402043581008911,233.0,38.0
2.428102731704712,233.0,38.0
2.456028461456299,233.0,38.0
2.47198486328125,233.0,38.0
2.4912567138671875,233.0,38.0
2.5032224655151367,233.0,38.0
2.5201759338378906,233.0,38.0
2.5411224365234375,233.0,38.0
2.565058946609497,233.0,38.0
2.5879967212677,233.0,38.0
2.6119306087493896,233.0,38.0
2.6428494453430176,233.0,38.0
2.673764944076538,233.0,38.0
2.7026889324188232,233.0,38.0
2.7306182384490967,233.0,38.0
2.7725000381469727,233.0,38.0
2.802427053451538,233.0,38.0
2.8303475379943848,233.0,38.0
2.863262414932251,233.0,38.0
2.889193534851074,233.0,38.0
2.922105073928833,233.0,38.0
2.945039987564087,233.0,38.0
2.965985059738159,233.0,39.0
2.992917776107788,233.0,38.0
3.011866569519043,233.0,38.0
3.0457727909088135,233.0,38.0
3.070704221725464,233.0,38.0
3.0916500091552734,233.0,38.0
3.129549026489258,233.0,38.0
3.1584694385528564,233.0,38.0
3.1794142723083496,233.0,38.0
3.1963722705841064,233.0,38.0
3.2272908687591553,233.0,38.0
3.2432446479797363,232.0,39.0
3.2731618881225586,233.0,39.0
3.308072566986084,233.0,38.0
3.334000825881958,233.0,39.0
3.362921714782715,233.0,38.0
3.399824857711792,233.0,38.0
3.425837278366089,233.0,39.0
3.4617505073547363,233.0,39.0
3.49066424369812,233.0,39.0
3.516643762588501,233.0,39.0
3.535607099533081,233.0,38.0
3.5695037841796875,232.0,38.0
3.5974273681640625,232.0,38.0
3.617377281188965,232.0,38.0
3.640324115753174,232.0,39.0
3.672227621078491,233.0,38.0
3.6931724548339844,233.0,38.0
3.718104600906372,233.0,38.0
3.74603271484375,233.0,39.0
3.7729575634002686,232.0,38.0
3.7988901138305664,233.0,39.0
3.826819658279419,233.0,38.0
3.8567357063293457,233.0,38.0
3.8856608867645264,233.0,39.0
3.904609203338623,233.0,38.0
3.9285449981689453,233.0,38.0
3.950486183166504,233.0,38.0
3.966440439224243,233.0,38.0
3.994379758834839,232.0,38.0
4.0238049030303955,233.0,38.0
4.037764549255371,233.0,38.0
4.082645416259766,233.0,38.0
4.112564325332642,233.0,38.0
4.138495206832886,233.0,39.0
4.160438299179077,232.0,39.0
4.196343660354614,232.0,39.0
4.214293718338013,233.0,39.0
4.237241983413696,233.0,38.0
4.255189895629883,233.0,38.0
4.288094520568848,233.0,38.0
4.323002338409424,233.0,39.0
4.349934339523315,233.0,38.0
4.37885308265686,232.0,39.0
4.397801399230957,233.0,38.0
4.43071722984314,233.0,38.0
4.459702968597412,232.0,38.0
4.475693941116333,232.0,38.0
4.504980564117432,233.0,38.0
4.534900188446045,233.0,38.0
4.555845737457275,233.0,38.0
4.58376932144165,232.0,39.0
4.604713201522827,232.0,39.0
4.628649950027466,232.0,39.0
4.64361572265625,233.0,39.0
4.658569812774658,233.0,39.0
4.674529552459717,233.0,38.0
4.692479372024536,233.0,39.0
4.70943284034729,233.0,38.0
4.748386383056641,233.0,38.0
4.7712695598602295,233.0,38.0
4.805177688598633,233.0,38.0
4.831151723861694,233.0,38.0
4.868010759353638,233.0,39.0
4.893724679946899,233.0,39.0
4.911684036254883,233.0,38.0
4.940600872039795,232.0,38.0
4.9605443477630615,233.0,39.0
4.9885218143463135,233.0,38.0
5.023377895355225,233.0,39.0
5.048310041427612,233.0,39.0
5.069254398345947,233.0,39.0
5.0951855182647705,233.0,38.0
5.1131367683410645,232.0,39.0
5.14581561088562,232.0,38.0
5.173735618591309,232.0,38.0
5.188700437545776,233.0,39.0
5.20565128326416,233.0,39.0
5.221609830856323,232.0,39.0
5.242560863494873,233.0,39.0
5.270530462265015,232.0,39.0
5.289427280426025,232.0,39.0
5.315361499786377,233.0,38.0
5.3353047370910645,232.0,39.0
5.371215343475342,232.0,39.0
5.3921520709991455,232.0,39.0
5.413097858428955,232.0,39.0
5.441023349761963,232.0,39.0
5.462964296340942,232.0,39.0
5.487896919250488,232.0,39.0
5.518814325332642,232.0,39.0
5.547736883163452,232.0,39.0
5.565688610076904,232.0,39.0
5.594611167907715,232.0,39.0
5.6295177936553955,232.0,39.0
5.655449151992798,232.0,39.0
5.672402620315552,232.0,39.0
5.706319332122803,233.0,39.0
5.734239101409912,232.0,39.0
5.7571775913238525,232.0,39.0
5.783108234405518,232.0,39.0
5.803055047988892,232.0,38.0
5.832973003387451,232.0,39.0
5.861896753311157,232.0,39.0
5.8808488845825195,232.0,39.0
