Time,Motor,OptenX,OptenY
0.036864519119262695,0,0.0,-0.0021166666666666664
0.06877923011779785,0,0.004233333333333333,-0.0021166666666666664
0.10012531280517578,4,0.01693333333333333,-0.0021166666666666664
0.13248753547668457,13,0.031749999999999994,0.0
0.16379022598266602,23,0.050800000000000005,0.0021166666666666664
0.19662141799926758,34,0.14393333333333333,0.004233333333333334
0.22879958152770996,48,0.28998333333333337,0.016933333333333335
0.25998377799987793,61,0.5143500000000001,0.00211666666666667
0.29196786880493164,77,0.7408333333333335,-0.01058333333333333
0.32453083992004395,94,0.9779000000000002,0.0063500000000000015
0.3559286594390869,114,1.2805833333333334,0.010583333333333333
0.38889575004577637,126,1.5832666666666664,0.02328333333333333
0.41994285583496094,138,1.8880666666666663,0.02751666666666666
0.45258450508117676,149,2.1843999999999997,0.02751666666666666
0.4843480587005615,159,2.4447499999999995,0.021166666666666663
0.51613450050354,167,2.6521833333333324,0.019049999999999997
0.5478353500366211,176,2.829983333333332,0.019049999999999997
0.5803213119506836,185,3.0289499999999983,0.021166666666666663
0.612431526184082,192,3.1601833333333316,0.02328333333333333
0.6442856788635254,200,3.3146999999999984,0.019049999999999997
0.6765074729919434,207,3.4628666666666654,0.014816666666666665
0.7080214023590088,214,3.5919833333333315,0.02328333333333333
0.7402195930480957,221,3.744383333333332,0.031749999999999994
0.772150993347168,231,3.8502166666666655,0.042333333333333334
0.8048675060272217,238,3.987799999999999,0.029633333333333334
0.8357951641082764,244,4.112683333333333,0.029633333333333334
0.8690433502197266,251,4.250266666666667,0.03386666666666667
0.9006476402282715,258,4.406900000000002,0.04445
0.9318878650665283,267,4.50426666666667,0.050800000000000005
0.9643995761871338,278,4.63761666666667,0.055033333333333344
0.9963815212249756,290,4.8344666666666685,0.05926666666666668
1.0283429622650146,302,5.033433333333336,0.07196666666666669
1.0603508949279785,313,5.249333333333337,0.08255000000000003
1.092181921005249,325,5.458883333333338,0.0910166666666667
1.124723196029663,338,5.679016666666673,0.0910166666666667
1.156080722808838,349,5.894916666666674,0.0910166666666667
1.1881072521209717,361,6.159500000000009,0.10160000000000005
1.220047950744629,372,6.371166666666677,0.1185333333333334
1.2523534297943115,384,6.582833333333345,0.13335000000000005
1.2841870784759521,397,6.798733333333346,0.13335000000000005
