Time,Motor1 Pos,Opten1 PosX,Opten1 PosY,Motor2 Pos,Opten2 PosX,Opten2 PosY
0.032,0.0,-0.002,-0.006,0.0,-0.002,0.0
0.144,0.0,-0.002,-0.006,0.0,-0.002,0.0
0.255,0.0,-0.002,-0.006,0.0,-0.002,0.0
0.368,0.0,-0.002,-0.006,0.0,-0.002,0.0
0.48,0.0,-0.002,-0.006,0.0,-0.002,0.0
0.608,0.0,-0.002,-0.006,0.0,-0.002,0.0
0.72,0.0,-0.002,-0.006,0.0,-0.002,0.0
0.831,0.0,-0.002,-0.006,0.0,-0.002,0.0
0.944,0.0,-0.002,-0.006,0.0,-0.002,0.0
1.216,-3.238,-0.254,-0.006,0.019,-0.093,-0.002
1.327,-14.648,-7.783,-0.161,0.019,-0.108,-0.017
1.439,-24.381,-14.906,-0.214,0.019,-0.121,-0.017
1.551,-34.381,-24.464,-0.461,0.019,-0.121,-0.028
1.664,-37.848,-33.018,-0.47,0.019,-0.125,-0.03
1.792,-37.848,-33.219,-0.485,0.019,-0.125,-0.03
1.92,-37.867,-33.219,-0.485,0.019,-0.125,-0.03
2.032,-37.867,-33.219,-0.485,0.019,-0.125,-0.03
2.144,-37.886,-33.219,-0.485,0.019,-0.125,-0.03
2.288,-36.019,-33.151,-0.5,-0.076,-0.038,-0.03
2.416,-24.648,-25.976,-0.531,-0.057,0.411,-0.021
2.528,-13.257,-15.24,-0.444,-0.057,0.464,-0.017
2.639,-3.467,-5.916,-0.317,-0.057,0.489,-0.028
2.751,-0.152,-2.148,-0.294,-0.057,0.485,-0.028
2.864,-0.152,-2.11,-0.294,-0.057,0.485,-0.028
2.975,-0.152,-2.11,-0.294,-0.057,0.485,-0.028
3.104,-0.152,-2.11,-0.294,-0.057,0.483,-0.028
3.215,-0.152,-2.11,-0.294,-0.057,0.483,-0.028
3.375,-2.21,-2.11,-0.294,0.057,0.415,-0.013
3.488,-12.019,-5.766,-0.409,0.057,-0.061,-0.025
3.615,-23.371,-12.349,-0.483,0.057,-0.097,-0.015
3.743,-34.419,-24.208,-0.669,0.057,-0.106,-0.025
3.855,-37.848,-31.386,-0.764,0.057,-0.099,-0.028
3.967,-37.867,-31.462,-0.768,0.057,-0.097,-0.028
4.08,-37.886,-31.462,-0.77,0.057,-0.097,-0.028
4.208,-37.886,-31.458,-0.762,0.057,-0.097,-0.028
4.335,-37.886,-31.458,-0.762,0.057,-0.097,-0.028
4.447,-35.771,-31.43,-0.775,-0.057,-0.047,-0.032
4.559,-25.695,-25.832,-0.804,-0.057,0.442,-0.015
4.672,-15.81,-16.339,-0.794,-0.038,0.47,-0.013
4.8,-4.952,-4.917,-0.707,-0.057,0.491,-0.021
4.928,-0.171,-0.495,-0.561,-0.057,0.502,-0.017
5.056,-0.171,-0.495,-0.561,-0.057,0.5,-0.017
5.183,-0.152,-0.495,-0.561,-0.038,0.5,-0.017
5.312,-0.152,-0.495,-0.561,-0.038,0.5,-0.017
5.423,-0.152,-0.495,-0.561,-0.038,0.5,-0.017
5.536,-3.676,-0.495,-0.561,0.057,0.4,0.002
5.647,-13.771,-4.93,-0.648,0.057,-0.072,-0.017
5.759,-23.638,-13.132,-0.8,0.057,-0.11,-0.013
5.887,-34.933,-24.397,-1.099,0.057,-0.123,-0.023
6.015,-37.867,-31.687,-1.135,0.057,-0.102,-0.032
6.143,-37.905,-31.665,-1.145,0.038,-0.089,-0.034
6.255,-37.924,-31.651,-1.145,0.038,-0.087,-0.036
6.367,-37.943,-31.646,-1.145,0.038,-0.074,-0.036
6.48,-37.943,-31.638,-1.145,0.019,-0.055,-0.036
