Time,Motor1 Pos,Opten1 PosX,Opten1 PosY,Motor2 Pos,Opten2 PosX,Opten2 PosY
0.032,0.0,-0.004,-0.004,0.0,0.0,0.0
0.165,0.0,-0.004,-0.004,0.0,0.0,0.0
0.287,0.0,-0.004,-0.004,0.0,0.0,0.0
0.416,0.0,-0.004,-0.004,0.0,0.0,0.0
0.527,0.0,-0.004,-0.002,0.0,0.0,0.0
0.639,0.0,-0.004,-0.004,0.0,0.0,0.0
0.752,0.0,-0.004,-0.004,0.0,0.0,0.0
0.863,0.0,-0.004,-0.002,0.0,0.0,0.0
0.976,0.0,-0.004,-0.004,0.0,0.0,0.0
1.215,-0.019,-0.072,0.004,5.2,-0.362,0.011
1.327,-0.019,-0.07,0.004,15.467,-9.468,0.085
1.44,-0.019,-0.083,0.0,25.257,-19.389,0.203
1.551,-0.019,-0.085,-0.002,35.619,-29.218,0.269
1.679,-0.019,-0.095,-0.002,37.886,-38.043,0.33
1.807,-0.019,-0.095,-0.002,37.886,-38.113,0.324
1.936,-0.019,-0.095,-0.002,37.886,-38.113,0.324
2.063,-0.019,-0.095,-0.002,37.886,-38.113,0.324
2.175,-0.019,-0.095,-0.002,37.886,-38.113,0.324
2.287,0.057,-0.017,-0.002,34.762,-38.064,0.328
2.399,0.057,0.303,-0.015,24.61,-31.507,0.256
2.511,0.057,0.343,-0.006,14.667,-21.598,0.193
2.639,0.057,0.326,-0.004,2.99,-9.635,0.087
2.767,0.057,0.32,-0.004,0.171,-0.834,0.042
2.879,0.057,0.32,-0.004,0.171,-0.692,0.04
2.991,0.057,0.32,-0.004,0.171,-0.692,0.04
3.103,0.057,0.32,-0.004,0.152,-0.69,0.04
3.215,0.057,0.322,-0.006,0.152,-0.69,0.04
3.359,-0.038,0.252,-0.008,3.486,-0.783,0.053
3.471,-0.038,0.047,-0.025,13.867,-7.965,0.08
3.599,-0.038,0.021,-0.051,25.581,-19.92,0.21
3.711,-0.038,-0.002,-0.04,35.543,-29.794,0.262
3.823,-0.038,-0.013,-0.051,37.905,-37.869,0.326
3.935,-0.038,-0.013,-0.051,37.905,-38.089,0.324
4.047,-0.038,-0.015,-0.051,37.905,-38.089,0.324
4.159,-0.038,-0.017,-0.051,37.905,-38.089,0.324
4.271,-0.038,-0.017,-0.051,37.905,-38.089,0.324
4.415,0.057,0.017,-0.051,35.79,-38.068,0.328
4.543,0.057,0.36,-0.04,24.267,-30.823,0.254
4.655,0.057,0.37,-0.023,14.171,-20.811,0.191
4.767,0.057,0.349,-0.019,3.848,-10.628,0.097
4.879,0.038,0.33,-0.032,0.171,-1.194,0.04
4.991,0.038,0.33,-0.034,0.171,-0.663,0.04
