Time,Motor1 Pos,Opten1 PosX,Opten1 PosY,Motor2 Pos,Opten2 PosX,Opten2 PosY
0.033,0.0,0.161,-0.04,0.0,0.08,-0.023
0.161,0.0,0.161,-0.04,0.0,0.083,-0.023
0.289,0.0,0.165,-0.042,0.019,0.087,-0.023
0.401,0.0,0.165,-0.042,0.0,0.087,-0.023
0.513,0.0,0.148,-0.049,0.0,0.064,-0.023
0.624,0.0,0.083,-0.047,0.0,0.015,-0.023
0.753,0.0,0.021,-0.028,0.0,-0.051,-0.015
0.88,0.0,0.017,-0.028,0.0,-0.053,-0.015
0.993,0.0,0.015,-0.028,0.0,-0.055,-0.015
1.201,-2.724,-0.015,-0.03,0.019,-0.123,-0.015
1.313,-12.305,-6.587,-0.068,0.019,-0.248,-0.025
1.44,-23.238,-18.189,-0.017,0.019,-0.294,-0.03
1.552,-34.324,-26.441,0.032,0.019,-0.32,-0.028
1.665,-37.886,-33.623,0.019,0.019,-0.313,-0.013
1.777,-37.962,-33.594,0.032,0.0,-0.298,-0.011
1.888,-37.962,-33.589,0.034,0.0,-0.29,-0.011
2.017,-37.962,-33.589,0.034,0.019,-0.29,-0.011
2.145,-37.962,-33.587,0.034,0.0,-0.288,-0.011
2.273,-35.848,-33.473,0.03,-0.076,-0.229,-0.006
2.385,-26.095,-26.892,0.099,-0.076,0.155,0.015
2.512,-15.143,-15.38,0.174,-0.057,0.148,0.044
2.64,-3.867,-3.624,0.277,-0.057,0.152,0.047
2.769,-0.133,4.415,0.345,-0.038,0.148,0.047
2.88,-0.133,4.441,0.332,-0.038,0.146,0.04
2.993,-0.133,4.441,0.33,-0.038,0.142,0.038
3.121,-0.133,4.439,0.322,-0.038,0.138,0.036
3.248,-0.133,4.437,0.322,-0.038,0.135,0.036
3.377,-3.39,4.341,0.322,0.038,-0.04,0.032
3.488,-14.743,-3.423,0.246,0.038,-0.284,-0.015
3.601,-24.343,-14.014,0.186,0.038,-0.309,-0.028
3.728,-35.467,-25.413,0.176,0.038,-0.322,-0.025
3.857,-37.886,-30.793,0.135,0.038,-0.326,-0.025
3.968,-37.886,-30.804,0.133,0.038,-0.326,-0.025
4.08,-37.886,-30.804,0.133,0.038,-0.326,-0.025
4.192,-37.905,-30.804,0.133,0.038,-0.326,-0.025
4.305,-37.905,-30.804,0.133,0.038,-0.326,-0.023
4.417,-36.99,-30.719,0.146,-0.057,-0.279,-0.013
4.544,-25.771,-23.393,0.184,-0.057,0.163,0.004
4.673,-14.171,-11.701,0.258,-0.057,0.155,0.03
4.8,-2.895,0.296,0.294,-0.038,0.15,0.036
4.928,-0.133,6.6,0.356,-0.038,0.15,0.036
5.04,-0.133,6.6,0.343,-0.019,0.148,0.032
5.153,-0.133,6.593,0.343,-0.019,0.146,0.025
5.28,-0.133,6.585,0.343,-0.019,0.138,0.025
5.409,-0.133,6.581,0.343,-0.019,0.138,0.025
5.52,-3.676,6.517,0.343,0.038,0.002,0.023
5.632,-13.39,1.206,0.29,0.038,-0.273,-0.03
5.744,-23.219,-8.964,0.464,0.038,-0.294,-0.036
5.856,-33.352,-18.527,0.538,0.038,-0.328,-0.038
5.984,-37.924,-26.558,0.47,0.038,-0.307,-0.025
6.112,-37.981,-26.501,0.47,0.019,-0.258,-0.021
6.224,-37.981,-26.475,0.472,0.0,-0.229,-0.013
6.336,-37.981,-26.473,0.472,0.0,-0.229,-0.013
6.448,-38.0,-26.473,0.472,0.019,-0.226,-0.013
6.576,-37.143,-26.418,0.464,-0.057,-0.176,-0.013
6.688,-26.99,-21.215,0.432,-0.057,0.18,0.002
6.816,-15.733,-10.243,0.394,-0.057,0.178,0.017
6.929,-4.724,0.068,0.478,-0.038,0.167,0.028
7.04,-0.133,8.2,0.559,-0.019,0.165,0.028
7.152,-0.133,8.289,0.555,-0.019,0.165,0.023
7.265,-0.133,8.28,0.548,-0.019,0.161,0.023
7.376,-0.133,8.28,0.548,0.0,0.159,0.023
7.489,-0.133,8.278,0.548,-0.019,0.159,0.023
7.665,-2.248,8.236,0.548,0.038,0.068,0.021
7.792,-13.486,1.607,0.423,0.038,-0.243,-0.023
7.92,-24.952,-9.758,0.506,0.057,-0.262,-0.036
8.032,-35.81,-19.943,0.423,0.038,-0.305,-0.047
8.144,-37.924,-25.859,0.519,0.038,-0.286,-0.038
8.272,-37.981,-25.806,0.525,0.038,-0.246,-0.034
8.4,-37.981,-25.766,0.525,0.0,-0.205,-0.03
8.512,-38.019,-25.756,0.525,0.0,-0.193,-0.028
8.624,-38.019,-25.747,0.519,0.0,-0.184,-0.028
8.753,-34.724,-25.607,0.502,-0.057,-0.04,-0.03
8.881,-23.352,-16.326,0.404,-0.057,0.218,-0.015
9.007,-12.019,-5.825,0.436,-0.057,0.226,-0.015
9.12,-1.295,3.088,0.466,-0.057,0.214,-0.011
9.232,-0.133,9.015,0.523,-0.038,0.203,-0.006
9.344,-0.133,9.017,0.521,-0.038,0.201,-0.008
9.473,-0.133,9.015,0.519,-0.019,0.199,-0.011
9.6,-0.133,9.013,0.516,-0.019,0.188,-0.013
9.712,-0.133,9.002,0.516,-0.019,0.186,-0.013
