Time,Motor1 Apos,Opten1 PosX,Opten1 PosY,Motor2 Apos,Opten2 PosX,Opten2 PosY
0.174,0.0,0.0,0.0,0.0,0.002,-0.002
0.245,0.0,0.0,0.0,0.0,0.002,-0.002
0.267,0.0,0.0,0.0,0.0,0.002,-0.002
0.319,0.0,0.0,0.0,0.0,0.002,-0.002
0.381,0.0,0.0,0.0,0.0,0.002,-0.002
0.445,0.0,0.0,0.0,0.0,0.002,-0.002
0.508,0.0,0.0,0.0,0.0,0.002,-0.002
0.568,0.0,0.0,0.0,0.0,0.002,-0.002
0.628,0.0,0.0,0.0,0.0,0.002,-0.002
0.691,0.0,0.0,0.0,0.0,0.002,-0.002
0.756,0.0,0.0,0.0,0.0,0.002,-0.002
0.817,0.0,0.0,0.0,0.0,0.002,-0.002
0.881,0.0,0.0,0.0,0.0,0.002,-0.002
0.942,0.0,0.0,0.0,0.0,0.002,-0.002
1.003,0.0,0.0,0.0,0.0,0.002,-0.002
1.077,0.0,0.0,0.0,0.0,0.002,-0.002
1.13,0.0,0.0,0.0,0.0,0.002,-0.002
1.194,0.0,0.0,0.0,0.0,0.002,-0.002
1.306,0.0,0.0,0.0,0.0,0.002,-0.002
1.362,0.0,0.0,0.0,0.0,0.002,-0.002
1.397,0.0,0.0,0.0,0.0,0.002,-0.002
1.456,0.0,0.0,0.0,0.0,0.002,-0.002
1.505,0.0,0.0,0.0,0.0,0.002,-0.002
1.568,0.0,0.0,0.0,-0.02,0.002,-0.002
1.631,0.0,0.0,0.0,-0.02,0.002,-0.002
1.693,0.0,0.0,0.0,-0.02,0.002,-0.002
1.754,0.0,0.0,0.0,0.0,0.002,-0.002
1.829,0.0,0.0,0.0,0.0,0.002,-0.002
1.893,0.0,0.0,0.0,0.0,0.002,-0.002
1.954,0.0,0.0,0.0,0.0,0.002,-0.002
2.011,0.0,0.0,0.0,0.0,0.002,-0.002
2.079,0.0,0.0,0.0,0.0,0.002,-0.002
2.133,0.0,0.0,0.0,0.0,0.002,-0.002
2.197,0.0,0.0,0.0,0.0,0.002,-0.002
2.264,0.0,0.0,0.0,0.0,0.002,-0.002
2.325,0.0,0.0,0.0,0.0,0.002,-0.002
2.389,0.0,0.0,0.0,0.0,0.002,-0.002
2.452,0.0,0.0,0.0,0.0,0.002,-0.002
2.514,0.0,0.0,0.0,0.0,0.002,-0.002
2.576,0.0,0.0,0.0,0.0,0.002,-0.002
2.629,0.0,0.0,0.0,0.0,0.002,-0.002
2.693,0.0,0.0,0.0,0.0,0.002,-0.002
2.761,0.0,0.0,0.0,0.0,0.002,-0.002
2.821,0.0,0.0,0.0,0.0,0.002,-0.002
2.884,0.0,0.0,0.0,0.0,0.002,-0.002
2.942,0.0,0.0,0.0,0.0,0.002,-0.002
3.006,0.0,0.0,0.0,0.0,0.002,-0.002
3.068,0.0,0.0,0.0,0.0,0.002,-0.002
3.129,0.0,0.0,0.0,0.0,0.002,-0.002
3.204,0.0,0.0,0.0,0.0,0.002,-0.002
3.257,0.0,0.0,0.0,0.0,0.002,-0.002
3.316,0.0,0.0,0.0,0.0,0.002,-0.002
3.387,0.0,0.0,0.0,0.0,0.002,-0.002
3.445,0.0,0.0,0.0,0.0,0.002,-0.002
3.508,0.0,0.0,0.0,-0.02,0.002,-0.002
3.567,0.0,0.0,0.0,-0.02,0.002,-0.002
3.634,0.0,0.0,0.0,-0.02,0.002,-0.002
3.695,0.0,0.0,0.0,0.0,0.002,-0.002
3.757,0.0,0.0,0.0,0.0,0.002,-0.002
3.818,0.0,0.0,0.0,0.0,0.002,-0.002
3.88,0.0,0.0,0.0,0.0,0.002,-0.002
3.943,0.0,0.0,0.0,0.0,0.002,-0.002
4.005,0.0,0.0,0.0,0.0,0.002,-0.002
4.069,0.0,0.0,0.0,0.0,0.002,-0.002
4.132,0.0,0.0,0.0,0.0,0.002,-0.002
4.197,0.0,0.0,0.0,0.0,0.002,-0.002
4.26,0.0,0.0,0.0,0.0,0.002,-0.002
4.323,0.0,0.0,0.0,0.0,0.002,-0.002
4.379,0.0,0.0,0.0,0.0,0.002,-0.002
4.443,0.0,0.0,0.0,0.0,0.002,-0.002
4.503,0.0,0.0,0.0,0.0,0.002,-0.002
4.571,0.0,0.0,0.0,0.0,0.002,-0.002
4.641,0.0,0.0,0.0,0.0,0.002,-0.002
4.703,0.0,0.0,0.0,0.0,0.002,-0.002
4.756,0.0,0.0,0.0,0.0,0.002,-0.002
4.82,0.0,0.0,0.0,0.0,0.002,-0.002
4.886,0.0,0.0,0.0,0.0,0.002,-0.002
4.948,0.0,0.0,0.0,0.0,0.002,-0.002
5.014,0.0,0.0,0.0,0.0,0.002,-0.002
5.077,0.0,0.0,0.0,0.0,0.002,-0.002
5.13,0.0,0.0,0.0,0.0,0.002,-0.002
5.211,0.0,0.0,0.0,0.0,0.002,-0.002
5.257,0.0,0.0,0.0,0.0,0.002,-0.002
5.328,0.0,0.0,0.0,0.0,0.002,-0.002
5.38,0.0,0.0,0.0,0.0,0.002,-0.002
5.444,0.0,0.0,0.0,0.0,0.002,-0.002
5.518,0.0,0.0,0.0,0.0,0.002,-0.002
5.572,0.0,0.0,0.0,0.0,0.002,-0.002
5.643,0.0,0.0,0.0,0.0,0.002,-0.002
5.691,0.0,0.0,0.0,0.0,0.002,-0.002
5.764,0.0,0.0,0.0,0.0,0.002,-0.002
5.828,0.0,0.0,0.0,0.0,0.002,-0.002
5.891,0.0,0.0,0.0,0.0,0.002,-0.002
5.951,0.0,0.0,0.0,0.0,0.002,-0.002
6.015,0.0,0.0,0.0,0.0,0.002,-0.002
6.068,0.0,0.0,0.0,0.0,0.002,-0.002
6.143,0.0,0.0,0.0,0.0,0.002,-0.002
6.196,0.0,0.0,0.0,0.0,0.002,-0.002
6.261,0.0,0.0,0.0,0.0,0.002,-0.002
6.328,0.0,0.0,0.0,0.0,0.002,-0.002
6.388,0.0,0.0,0.0,0.0,0.002,-0.002
6.455,0.0,0.0,0.0,0.0,0.002,-0.002
6.516,0.0,0.0,0.0,0.0,0.002,-0.002
6.578,0.0,0.0,0.0,-0.02,0.002,-0.002
6.64,0.0,0.0,0.0,-0.02,0.002,-0.002
6.692,0.0,0.0,0.0,-0.02,0.002,-0.002
6.767,0.0,0.0,0.0,0.0,0.002,-0.002
6.816,0.0,0.0,0.0,0.0,0.002,-0.002
6.885,0.0,0.0,0.0,0.0,0.002,-0.002
6.952,0.0,0.0,0.0,0.0,0.002,-0.002
7.012,0.0,0.0,0.0,0.0,0.002,-0.002
7.078,0.0,0.0,0.0,0.0,0.002,-0.002
7.14,0.0,0.0,0.0,0.0,0.002,-0.002
7.203,0.0,0.0,0.0,-0.02,0.002,-0.002
7.264,0.0,0.0,0.0,-0.02,0.002,-0.002
7.328,0.0,0.0,0.0,-0.02,0.002,-0.002
7.38,0.0,0.0,0.0,0.0,0.002,-0.002
7.452,0.0,0.0,0.0,0.0,0.002,-0.002
7.508,0.0,0.0,0.0,0.0,0.002,-0.002
7.579,0.0,0.0,0.0,0.0,0.002,-0.002
7.636,0.0,0.0,0.0,0.0,0.002,-0.002
7.7,0.0,0.0,0.0,0.0,0.002,-0.002
7.764,0.0,0.0,0.0,0.0,0.002,-0.002
7.828,0.0,0.0,0.0,0.0,0.002,-0.002
7.89,0.0,0.0,0.0,0.0,0.002,-0.002
7.952,0.0,0.0,0.0,0.0,0.002,-0.002
8.005,0.0,0.0,0.0,0.0,0.002,-0.002
8.076,0.0,0.0,0.0,0.0,0.002,-0.002
8.132,0.0,0.0,0.0,0.0,0.002,-0.002
8.198,0.0,0.0,0.0,0.0,0.002,-0.002
8.26,0.0,0.0,0.0,0.0,0.002,-0.002
8.323,0.0,0.0,0.0,0.0,0.002,-0.002
8.385,0.0,0.0,0.0,0.0,0.002,-0.002
8.447,0.0,0.0,0.0,0.0,0.002,-0.002
8.508,0.0,0.0,0.0,0.0,0.002,-0.002
8.572,0.0,0.0,0.0,0.0,0.002,-0.002
8.635,0.0,0.0,0.0,0.0,0.002,-0.002
8.698,0.0,0.0,0.0,0.0,0.002,-0.002
8.756,0.0,0.0,0.0,0.0,0.002,-0.002
8.824,0.0,0.0,0.0,0.0,0.002,-0.002
8.883,0.0,0.0,0.0,0.0,0.002,-0.002
8.948,0.0,0.0,0.0,0.0,0.002,-0.002
9.013,0.0,0.0,0.0,0.0,0.002,-0.002
9.076,0.0,0.0,0.0,0.0,0.002,-0.002
9.141,0.0,0.0,0.0,0.0,0.002,-0.002
9.203,0.0,0.0,0.0,0.0,0.002,-0.002
9.264,0.0,0.0,0.0,0.0,0.002,-0.002
9.328,0.0,0.0,0.0,0.0,0.002,-0.002
9.38,0.0,0.0,0.0,0.0,0.002,-0.002
9.444,0.0,0.0,0.0,0.0,0.002,-0.002
9.514,0.0,0.0,0.0,0.0,0.002,-0.002
9.572,0.0,0.0,0.0,0.0,0.002,-0.002
9.637,0.0,0.0,0.0,0.0,0.002,-0.002
9.7,0.0,0.0,0.0,0.0,0.002,-0.002
9.763,0.0,0.0,0.0,0.0,0.002,-0.002
9.827,0.0,0.0,0.0,0.0,0.002,-0.002
9.888,0.0,0.0,0.0,0.0,0.002,-0.002
9.952,0.0,0.0,0.0,0.0,0.002,-0.002
10.015,0.0,0.0,0.0,0.0,0.002,-0.002
10.068,0.0,0.0,0.0,0.0,0.002,-0.002
10.14,0.0,0.0,0.0,0.0,0.002,-0.002
10.196,0.0,0.0,0.0,0.0,0.002,-0.002
10.265,0.0,0.0,0.0,0.0,0.002,-0.002
10.324,0.0,0.0,0.0,0.0,0.002,-0.002
10.388,0.0,0.0,0.0,0.0,0.002,-0.002
10.441,0.0,0.0,0.0,0.0,0.002,-0.002
10.516,0.0,0.0,0.0,0.0,0.002,-0.002
10.582,0.0,0.0,0.0,0.0,0.002,-0.002
10.658,0.0,0.0,0.0,0.0,0.002,-0.002
10.708,0.0,0.0,0.0,0.0,0.002,-0.002
10.782,0.0,0.0,0.0,0.0,0.002,-0.002
10.836,0.0,0.0,0.0,0.0,0.002,-0.002
10.908,0.0,0.0,0.0,0.0,0.002,-0.002
10.964,0.0,0.0,0.0,0.0,0.002,-0.002
11.028,0.0,0.0,0.0,0.0,0.002,-0.002
11.102,0.0,0.0,0.0,0.0,0.002,-0.002
11.156,0.0,0.0,0.0,0.0,0.002,-0.002
11.221,0.0,0.0,0.0,0.0,0.002,-0.002
11.284,0.0,0.0,0.0,0.0,0.002,-0.002
11.331,0.0,0.0,0.0,0.0,0.002,-0.002
11.395,0.0,0.0,0.0,0.0,0.002,-0.002
11.46,0.0,0.0,0.0,0.0,0.002,-0.002
11.524,0.0,0.0,0.0,0.0,0.002,-0.002
11.596,0.0,0.0,0.0,0.0,0.002,-0.002
11.652,0.0,0.0,0.0,0.0,0.002,-0.002
11.707,0.0,0.0,0.0,0.0,0.002,-0.002
11.769,0.0,0.0,0.0,0.0,0.002,-0.002
11.833,0.0,0.0,0.0,0.0,0.002,-0.002
11.895,0.0,0.0,0.0,0.0,0.002,-0.002
11.957,0.0,0.0,0.0,0.0,0.002,-0.002
12.019,0.0,0.0,0.0,-0.02,0.002,-0.002
12.084,0.0,0.0,0.0,-0.02,0.002,-0.002
12.147,0.0,0.0,0.0,0.0,0.002,-0.002
12.22,0.0,0.0,0.0,0.0,0.002,-0.002
12.276,0.0,0.0,0.0,0.0,0.002,-0.002
12.343,0.0,0.0,0.0,0.0,0.002,-0.002
12.404,0.0,0.0,0.0,0.0,0.002,-0.002
12.468,0.0,0.0,0.0,0.0,0.002,-0.002
12.533,0.0,0.0,0.0,0.0,0.002,-0.002
12.594,0.0,0.0,0.0,0.0,0.002,-0.002
12.657,0.0,0.0,0.0,0.0,0.002,-0.002
12.708,0.0,0.0,0.0,0.0,0.002,-0.002
12.772,0.0,0.0,0.0,0.0,0.002,-0.002
12.843,0.0,0.0,0.0,0.0,0.002,-0.002
12.9,0.0,0.0,0.0,0.0,0.002,-0.002
12.968,0.0,0.0,0.0,0.0,0.002,-0.002
13.028,0.0,0.0,0.0,0.0,0.002,-0.002
13.091,0.0,0.0,0.0,0.0,0.002,-0.002
13.156,0.0,0.0,0.0,0.0,0.002,-0.002
13.22,0.0,0.0,0.0,0.0,0.002,-0.002
13.283,0.0,0.0,0.0,0.0,0.002,-0.002
13.346,0.0,0.0,0.0,0.0,0.002,-0.002
13.395,0.0,0.0,0.0,0.0,0.002,-0.002
13.47,0.0,0.0,0.0,0.0,0.002,-0.002
13.524,0.0,0.0,0.0,0.0,0.002,-0.002
13.582,0.0,0.0,0.0,0.0,0.002,-0.002
13.645,0.0,0.0,0.0,0.0,0.002,-0.002
