Time,Motor1 Apos,Opten1 PosX,Opten1 PosY,Motor2 Apos,Opten2 PosX,Opten2 PosY
0.297,0.0,0.0,0.0,0.0,-0.002,0.0
0.386,0.0,0.0,0.0,0.0,-0.002,0.0
0.437,0.0,0.0,0.0,0.0,-0.002,0.0
0.5,0.0,0.0,0.0,0.0,-0.002,0.0
0.565,0.0,0.0,0.0,0.0,-0.002,0.0
0.625,-0.02,0.0,0.0,0.0,-0.002,0.0
0.701,-0.02,0.0,0.0,0.0,-0.002,0.0
0.75,-0.02,0.0,0.0,0.0,-0.002,0.0
0.814,0.0,0.0,0.0,0.0,-0.002,0.0
0.884,0.0,0.0,0.0,0.0,-0.002,0.0
1.001,-0.02,0.0,0.0,0.0,-0.002,0.0
1.07,-0.02,0.0,0.0,0.0,-0.002,0.0
1.132,-0.02,0.0,0.0,0.0,-0.002,0.0
1.195,0.0,0.0,0.0,0.0,-0.002,0.0
1.266,0.0,0.0,0.0,0.0,-0.002,0.0
1.316,0.0,0.0,0.0,0.0,-0.002,0.0
1.38,-0.02,0.0,0.0,0.0,-0.002,0.0
1.44,-0.02,0.0,0.0,0.0,-0.002,0.0
1.502,-0.02,0.0,0.0,0.0,-0.002,0.0
1.563,0.0,0.0,0.0,0.0,-0.002,0.0
1.627,0.0,0.0,0.0,0.0,-0.002,0.0
1.688,0.0,0.0,0.0,0.0,-0.002,0.0
1.75,0.0,0.0,0.0,0.0,-0.002,0.0
1.813,0.0,0.0,0.0,0.0,-0.002,0.0
1.877,0.0,0.0,0.0,0.0,-0.002,0.0
1.936,0.0,0.0,0.0,0.0,-0.002,0.0
2.013,0.0,0.0,0.0,0.0,-0.002,0.0
2.063,0.0,0.0,0.0,0.0,-0.002,0.0
2.133,0.0,0.0,0.0,0.0,-0.002,0.0
2.197,0.0,0.0,0.0,0.0,-0.002,0.0
2.257,-0.02,-0.002,0.002,0.0,-0.004,0.004
2.312,-0.02,-0.013,0.013,-0.04,-0.019,0.013
2.377,-0.02,-0.034,0.015,-0.04,-0.044,0.015
2.44,-0.08,-0.186,-0.004,-0.04,-0.203,0.021
2.498,-0.08,-0.347,-0.011,-0.93,-0.364,0.023
2.567,-0.08,-0.521,-0.036,-0.93,-0.652,0.004
2.626,-0.08,-0.512,-0.036,-0.93,-1.158,-0.002
2.686,-0.08,-0.512,-0.036,-2.32,-1.668,-0.023
2.762,-0.08,-0.512,-0.036,-2.32,-2.326,-0.074
2.823,-0.08,-0.51,-0.036,-4.04,-2.866,-0.074
2.875,-0.08,-0.51,-0.034,-4.04,-3.378,-0.072
2.948,-0.08,-0.506,-0.028,-4.04,-3.996,-0.047
2.998,-0.08,-0.5,-0.03,-5.58,-4.464,-0.021
3.074,-0.08,-0.502,-0.028,-5.58,-5.154,-0.021
3.127,-0.08,-0.497,-0.028,-5.58,-5.643,-0.006
3.19,-0.08,-0.497,-0.025,-5.58,-6.085,0.013
3.248,-0.08,-0.497,-0.025,-7.3,-6.712,0.019
3.319,-0.08,-0.497,-0.023,-7.3,-7.319,0.023
3.388,-0.08,-0.5,-0.023,-8.99,-7.813,0.042
3.448,-0.08,-0.5,-0.023,-8.99,-8.494,0.044
3.507,-0.08,-0.5,-0.021,-8.99,-9.015,0.047
3.57,-0.08,-0.5,-0.021,-8.99,-9.557,0.047
3.635,-0.08,-0.504,-0.021,-10.65,-10.02,0.07
3.687,-0.08,-0.512,-0.021,-10.65,-10.247,0.08
3.751,-0.08,-0.519,-0.021,-10.95,-10.357,0.078
3.816,-0.08,-0.523,-0.019,-10.95,-10.38,0.085
3.882,-0.08,-0.523,-0.017,-10.95,-10.38,0.087
3.94,-0.08,-0.523,-0.019,-10.95,-10.382,0.087
4.002,-0.08,-0.523,-0.019,-11.01,-10.384,0.087
4.064,-0.08,-0.525,-0.019,-11.01,-10.384,0.087
4.128,-0.08,-0.525,-0.019,-11.01,-10.384,0.087
4.192,-0.08,-0.525,-0.019,-11.01,-10.386,0.087
4.256,-0.08,-0.525,-0.019,-11.01,-10.386,0.087
4.313,-0.08,-0.525,-0.019,-11.01,-10.386,0.087
4.379,-0.08,-0.504,-0.021,-11.01,-10.365,0.089
4.438,-0.02,-0.47,-0.021,-11.01,-10.329,0.091
4.502,-0.02,-0.334,0.004,-10.29,-10.164,0.089
4.567,-0.02,-0.125,0.006,-10.29,-9.959,0.097
4.629,-0.02,0.002,0.017,-10.29,-9.823,0.106
4.689,0.0,-0.025,0.017,-8.84,-9.341,0.108
4.753,0.0,-0.025,0.017,-8.84,-8.721,0.102
