Time,Motor1 Apos,Opten1 PosX,Opten1 PosY,Motor2 Apos,Opten2 PosX,Opten2 PosY
0.258,0.0,-0.006,0.002,0.0,-0.004,-0.002
0.348,0.0,-0.006,0.002,0.0,-0.004,-0.002
0.378,0.0,-0.006,0.002,0.0,-0.004,-0.002
0.418,0.0,-0.006,0.002,0.0,-0.004,-0.002
0.484,0.0,-0.006,0.002,0.0,-0.004,-0.002
0.547,0.0,-0.006,0.002,0.0,-0.004,-0.002
0.608,0.0,-0.006,0.002,0.0,-0.004,-0.002
0.669,0.0,-0.006,0.002,0.0,-0.004,-0.002
0.729,0.0,-0.006,0.002,0.0,-0.004,-0.002
0.79,0.0,-0.006,0.002,0.0,-0.004,-0.002
0.854,0.0,-0.006,0.002,0.0,-0.004,-0.002
0.916,0.0,-0.006,0.002,0.0,-0.004,-0.002
0.979,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.04,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.106,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.177,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.229,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.3,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.356,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.422,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.48,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.546,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.721,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.767,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.822,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.855,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.915,0.0,-0.006,0.002,0.0,-0.004,-0.002
1.977,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.041,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.112,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.174,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.236,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.291,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.356,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.517,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.565,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.616,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.671,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.731,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.797,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.859,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.921,0.0,-0.006,0.002,0.0,-0.004,-0.002
2.983,0.0,-0.006,0.002,0.0,-0.004,-0.002
3.042,0.0,-0.006,0.002,0.0,-0.004,-0.002
3.105,0.0,-0.006,0.002,0.0,-0.004,-0.002
3.17,0.0,-0.006,0.002,0.0,-0.004,-0.002
3.234,0.0,-0.006,0.002,0.0,-0.004,-0.002
3.295,0.0,-0.006,0.002,0.0,-0.004,-0.002
3.357,0.0,-0.006,0.002,0.0,-0.004,-0.002
3.416,0.0,-0.006,0.002,0.0,-0.004,-0.002
3.479,0.0,-0.006,0.002,0.0,-0.004,-0.002
3.54,0.0,-0.006,0.002,0.0,-0.004,-0.002
3.615,0.0,-0.006,0.002,0.0,-0.004,-0.002
3.668,0.0,-0.006,0.002,0.0,-0.004,-0.002
3.732,0.0,-0.011,0.004,0.0,-0.015,-0.002
3.8,0.0,-0.03,0.015,0.0,-0.042,0.004
3.859,-0.46,-0.142,0.011,0.0,-0.144,0.0
3.916,-0.46,-0.243,0.021,-0.1,-0.246,-0.017
3.983,-0.46,-0.493,0.036,-0.1,-0.495,-0.008
4.045,-1.66,-0.734,0.032,-0.1,-0.62,0.006
4.103,-1.66,-1.204,0.015,-0.11,-0.616,0.008
4.166,-1.66,-1.789,-0.004,-0.11,-0.612,0.008
4.234,-3.22,-2.411,-0.013,-0.11,-0.614,0.015
4.301,-3.22,-2.927,-0.013,-0.1,-0.62,-0.002
4.358,-3.22,-3.27,-0.034,-0.1,-0.622,-0.0
4.419,-4.76,-3.818,-0.04,-0.11,-0.624,0.006
4.482,-4.76,-4.35,-0.047,-0.11,-0.627,0.011
