Time,Motor1 Apos,Opten1 PosX,Opten1 PosY,Motor2 Apos,Opten2 PosX,Opten2 PosY
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.039,-0.02,-0.002,-0.002,0.02,0.0,0.006
0.101,-0.02,-0.002,-0.002,0.02,0.0,0.006
0.156,-0.02,-0.002,-0.002,0.02,0.0,0.006
0.222,-0.02,-0.002,-0.002,0.02,0.0,0.006
0.283,0.0,-0.002,-0.002,0.02,0.0,0.006
0.345,0.0,-0.002,-0.002,0.02,0.0,0.006
0.407,0.0,-0.002,-0.002,0.02,0.0,0.006
0.468,0.0,-0.002,-0.002,0.02,0.0,0.006
0.529,0.0,-0.002,-0.002,0.02,0.0,0.006
0.589,0.0,-0.002,-0.002,0.02,0.0,0.006
0.652,-0.02,-0.002,-0.002,0.02,0.0,0.006
0.715,-0.02,-0.002,-0.002,0.02,0.0,0.006
0.78,-0.02,-0.002,-0.002,0.02,0.0,0.006
0.84,-0.02,-0.002,-0.002,0.02,0.0,0.006
0.902,-0.02,-0.002,-0.002,0.02,0.0,0.006
0.963,-0.02,-0.002,-0.002,0.02,0.0,0.006
1.043,-0.02,-0.002,-0.002,0.02,0.0,0.006
1.103,-0.02,-0.002,-0.002,0.02,0.0,0.006
1.179,0.0,-0.002,-0.002,0.02,0.0,0.006
1.23,0.0,-0.002,-0.002,0.02,0.0,0.006
1.305,0.0,-0.002,-0.002,0.02,0.0,0.006
1.355,-0.02,-0.002,-0.002,0.02,0.0,0.006
1.423,-0.02,-0.002,-0.002,0.02,0.0,0.006
1.489,-0.02,-0.002,-0.002,0.02,0.0,0.006
1.547,0.0,-0.002,-0.002,0.02,0.0,0.006
1.611,0.0,-0.002,-0.002,0.02,0.0,0.006
1.673,0.0,-0.002,-0.002,0.02,0.0,0.006
1.737,0.0,-0.002,-0.002,0.02,0.0,0.006
1.8,0.0,-0.015,0.0,0.02,-0.019,0.006
1.863,-0.04,-0.044,0.006,0.02,-0.053,0.017
1.917,-0.04,-0.205,-0.002,-0.74,-0.218,0.021
1.982,-0.04,-0.404,-0.011,-0.74,-0.396,0.021
2.044,-0.1,-0.588,-0.015,-0.74,-0.578,0.008
2.106,-0.1,-0.55,-0.021,-2.02,-1.109,0.017
2.167,-0.1,-0.538,-0.021,-2.02,-1.689,0.028
2.23,-0.08,-0.538,-0.021,-2.02,-2.244,0.03
2.291,-0.08,-0.538,-0.021,-3.56,-2.76,0.028
2.355,-0.08,-0.538,-0.019,-3.56,-3.319,0.042
2.42,-0.08,-0.538,-0.017,-3.56,-3.84,0.036
2.48,-0.08,-0.538,-0.017,-5.14,-4.396,0.047
2.542,-0.08,-0.538,-0.017,-5.14,-4.906,0.044
2.604,-0.08,-0.538,-0.017,-6.55,-5.45,0.051
2.678,-0.08,-0.538,-0.015,-6.55,-6.117,0.044
2.733,-0.08,-0.54,-0.008,-6.55,-6.551,0.044
2.796,-0.08,-0.548,-0.006,-8.08,-7.07,0.028
2.854,-0.08,-0.548,-0.006,-8.08,-7.601,0.023
2.922,-0.08,-0.548,-0.006,-8.08,-8.227,0.028
2.986,-0.08,-0.555,-0.006,-9.64,-8.812,0.034
3.048,-0.08,-0.559,-0.008,-9.64,-9.37,0.036
3.112,-0.08,-0.557,-0.008,-10.99,-9.94,0.036
3.175,-0.08,-0.561,-0.013,-10.99,-10.389,0.036
3.236,-0.08,-0.561,-0.015,-10.99,-10.545,0.044
3.293,-0.08,-0.561,-0.015,-11.28,-10.571,0.044
3.36,-0.08,-0.563,-0.015,-11.28,-10.577,0.036
3.419,-0.08,-0.563,-0.017,-11.28,-10.579,0.034
3.482,-0.08,-0.563,-0.017,-11.3,-10.579,0.034
3.542,-0.08,-0.563,-0.017,-11.3,-10.579,0.034
3.606,-0.08,-0.563,-0.017,-11.3,-10.579,0.032
3.667,-0.08,-0.563,-0.017,-11.3,-10.575,0.034
3.742,-0.08,-0.529,-0.021,-11.3,-10.549,0.036
3.804,-0.02,-0.457,-0.023,-11.3,-10.446,0.034
3.867,-0.02,-0.294,-0.03,-10.5,-10.308,0.023
3.929,-0.02,-0.125,-0.019,-10.5,-10.094,0.028
3.98,0.0,-0.116,-0.021,-10.5,-9.766,0.025
4.045,0.0,-0.116,-0.023,-9.18,-9.208,0.023
4.115,0.0,-0.116,-0.023,-9.18,-8.587,-0.015
4.172,-0.02,-0.106,-0.023,-9.18,-8.117,-0.028
4.239,-0.02,-0.104,-0.023,-7.6,-7.521,-0.015
4.298,-0.02,-0.104,-0.025,-7.6,-6.972,-0.002
4.359,0.0,-0.104,-0.025,-6.19,-6.462,0.017
4.421,0.0,-0.104,-0.025,-6.19,-5.914,0.015
4.48,-0.02,-0.104,-0.025,-6.19,-5.355,0.013
4.542,-0.02,-0.104,-0.025,-4.61,-4.834,0.011
4.603,-0.02,-0.104,-0.023,-4.61,-4.31,0.019
4.667,-0.02,-0.104,-0.023,-4.61,-3.772,-0.006
4.732,-0.02,-0.104,-0.023,-3.09,-3.175,-0.008
4.803,-0.02,-0.104,-0.023,-3.09,-2.576,-0.021
